Ranking,Name,Coun,Continent,GDP,GDP per Capita
1,Tokyo, Japon,Asia,1617000,68776
2,New York, Estados Unidos,America,1403463,69915
3,Los Ángeles, Estados Unidos,America,860452,65082
4,Seoul, Corea del Sur,Asia,845906,34355
5,London, Reino Unido,Europa,835658,57157
6,Paris, Francia,Europa,715080,57241
7,Osaka, Japon,Asia,671295,35902
8,Shanghai, China,Asia,594005,24065
9,Chicago, Estados Unidos,America,563188,58861
10,Moscow, Rusia,Europa,553318,45803
11,Pekin, China,Asia,506137,23390
12,Colonia, Alemania,Europa,485218,41763
13,Houston, Estados Unidos,America,483184,74926
14,Washington D. C., Estados Unidos,America,442212,73017
15,São Paulo, Brasil,America,430510,20650
16,Hong Kong, China,Asia,416047,57244
17,Dallas, Estados Unidos,America,412674,59483
18,Mexico City, Mexico,America,403561,19239
19,Canton, China,Asia,380264,29014
20,Tianjin, China,Asia,371973,24224
21,Singapur, Singapur,Asia,365928,66864
22,Nagoya, Japon,Asia,363751,40144
23,Shenzhen, China,Asia,363228,33731
24,Boston, Estados Unidos,America,360110,76204
25,Istanbul, Turquia,Europa,348721,24867
26,Filadelfia, Estados Unidos,America,346455,57166
27,Suzhou, China,Asia,339028,52020
28,San Francisco, Estados Unidos,America,331024,72390
29,Taipei, Taiwan,Asia,327295,46102
30,Yakarta, Indonesia,Asia,321315,9984
31,Ámsterdam, Paises Bajos,Europa,320600,45265
32,Buenos Aires, Argentina,America,315885,23606
33,Chongqing, China,Asia,315581,10516
34,Milan, Italia,Europa,312108,41147
35,Bangkok, Tailandia,Asia,306765,19705
36,Busan, Corea del Sur,Asia,296510,38602
37,Atlanta, Estados Unidos,America,294420,52609
38,Delhi, India,Asia,293637,12747
39,Toronto, Canada,America,276313,45771
40,Seattle, Estados Unidos,America,267473,73012
41,Miami, Estados Unidos,America,262697,44480
42,Madrid, España,Europa,262335,39288
43,Bruselas, Belgica,Europa,254327,46298
44,Chengdu, China,Asia,233525,16423
45,Wuhan, China,Asia,231551,22724
46,Frankfurt, Alemania,Europa,229985,51645
47,Sidney, Australia,Oceania,223413,46344
48,Munich, Alemania,Europa,219943,56322
49,Hangzhou, China,Asia,219509,24637
50,Wuxi, China,Asia,211458,44760
51,Minneapolis, Estados Unidos,America,211398,60544
52,Qingdao, China,Asia,208691,23281
53,Detroit, Estados Unidos,America,207538,48421
54,Phoenix, Estados Unidos,America,207065,46430
55,Nanjing, China,Asia,202695,31434
56,San Diego, Estados Unidos,America,202490,62295
57,Dalian, China,Asia,198805,33568
58,Fukuoka, Japon,Asia,193340,34822
59,Shenyang, China,Asia,189304,26020
60,Changsha, China,Asia,186412,25143
61,Foshan, China,Asia,184543,24870
62,Viena, Austria,Europa,183712,48546
63,Manila, Filipinas,Asia,182842,14222
64,Ningbo, China,Asia,178985,23153
65,Melbourne, Australia,Oceania,178392,40244
66,Abu Dhabi, Emiratos Árabes Unidos,Asia,178256,61009
67,Rio de Janeiro, Brasil,America,176630,14176
